error,id,institute,state,branch,quota,category,gender,opening_rank,closing_rank
,1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,46359,67337
,2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),57261,66112
,3,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,13101,16933
,4,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),16430,16430
,5,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,70092,103321
,6,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),68024,68024
,7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,11861,13671
,8,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),13043,13043
,9,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,30316,36866
,10,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),37260,42595
,11,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,1414,1414
,12,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,6188,6361
,13,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),7662,7662
,14,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,11252,12497
,15,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),13601,13601
,16,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,7054,7744
,17,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),9235,9235
,18,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Bio Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2450,2870
,19,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,35322,51527
,20,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),42971,49249
